song_id,title,artist,mood,time_of_day,activity,youtube_link
43,"""Party Up (Up in Here)""",DMX,Romantic,morning,date,https://www.youtube.com/watch?v=thIVtEOtlWM
44,"""Talk You Out of It""",Florida Georgia Line,Romantic,morning,reflecting,https://www.youtube.com/watch?v=8Ls6QyWu63s
45,"""All Falls Down""",Kanye West featuring Syleena Johnson,Empowering,morning,relaxing,https://www.youtube.com/watch?v=8kyWDhB_QeI
46,"""Highest in the Room""",Travis Scott,Joyful,evening,reflecting,https://www.youtube.com/watch?v=tfSS1e3kYeo
47,"""Lights, Camera, Action!""",Mr. Cheeks,Excited,afternoon,cooking,https://www.youtube.com/watch?v=Y3ewqjk64mU
48,"""E.I.""",Nelly,Romantic,afternoon,reflecting,https://www.youtube.com/watch?v=mNaMR8AyeWc
49,"""Without Me""",Eminem,Joyful,afternoon,cooking,https://www.youtube.com/watch?v=YVkUvmDQ3HY
50,"""Dirty Little Secret""",The All-American Rejects,Empowering,evening,cooking,https://www.youtube.com/watch?v=gPDcwjJ8pLg
51,"""Look Back at It""",A Boogie wit da Hoodie,Comforting,night,exercising,https://www.youtube.com/watch?v=DmNfT-B7nlA
52,"""Happy""",Ashanti,Calm,night,exercising,https://www.youtube.com/watch?v=MrCsubL_OSQ
53,"""Oh Boy""",Cam'ron featuring Juelz Santana,Mysterious,afternoon,exercising,https://www.youtube.com/watch?v=9GvB9ySUJ3A
54,"""Turn My Swag On""",Soulja Boy Tell 'Em,Nostalgic,morning,exercising,https://www.youtube.com/watch?v=9yRme0C2pmI
55,"""I Don't Want to Be""",Gavin DeGraw,Excited,afternoon,cooking,https://www.youtube.com/watch?v=8gFCW3PHBws
56,"""Renegades""",X Ambassadors,Empowering,night,date,https://www.youtube.com/watch?v=8j741TUIET0
57,"""Thank God""",Kane Brown and Katelyn Brown,Melancholic,morning,journaling,https://www.youtube.com/watch?v=bLzUmfLckEw
58,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,Joyful,afternoon,cooking,https://www.youtube.com/watch?v=8zo9VTJUVWc
59,"""Hotel""",Cassidy featuring R. Kelly,Joyful,night,commuting,https://www.youtube.com/watch?v=MKOT6teSarY
60,"""Barefoot Blue Jean Night""",Jake Owen,Mysterious,night,reflecting,https://www.youtube.com/watch?v=aRh-vBOS-dU
61,"""Flashing Lights""",Kanye West featuring Dwele,Joyful,afternoon,journaling,https://www.youtube.com/watch?v=ila-hAUXR5U
62,"""Until I Found You""",Stephen Sanchez,Excited,night,relaxing,https://www.youtube.com/watch?v=GxldQ9eX2wo
63,"""Clumsy""",Fergie,Empowering,evening,cooking,https://www.youtube.com/watch?v=tf_gPZSDIxI
64,"""Shake Ya Tailfeather""","Nelly, P. Diddy and Murphy Lee",Calm,night,cooking,https://www.youtube.com/watch?v=bG7DBO0k5lA
65,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,Comforting,afternoon,cooking,https://www.youtube.com/watch?v=SgM3r8xKfGE
66,"""Beautiful People""",Ed Sheeran featuring Khalid,Romantic,night,journaling,https://www.youtube.com/watch?v=mj0XInqZMHY
67,"""Since U Been Gone""",Kelly Clarkson,Excited,night,reflecting,https://www.youtube.com/watch?v=R7UrFYvl5TE
68,"""Live Like You Were Dying""",Tim McGraw,Nostalgic,evening,cooking,https://www.youtube.com/watch?v=_9TShlMkQnc
69,"""Hey Mama""",The Black Eyed Peas,Empowering,evening,reflecting,https://www.youtube.com/watch?v=rtczBseiAac
70,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,Melancholic,night,journaling,https://www.youtube.com/watch?v=2dTMIH5gCHg
71,"""I Luv Your Girl""",The-Dream,Excited,night,relaxing,https://www.youtube.com/watch?v=77E4sRtJ-b4
72,"""Give Me Just One Night (Una Noche)""",98 Degrees,Calm,night,exercising,https://www.youtube.com/watch?v=PYb2IdrN-ns
73,"""Diary""",Alicia Keys featuring Tony! Toni! Toné!,Empowering,morning,reflecting,https://www.youtube.com/watch?v=SLCtH9lRj7Q
74,"""Too Good at Goodbyes""",Sam Smith,Calm,night,cooking,https://www.youtube.com/watch?v=J_ub7Etch2U
75,"""Look What You Made Me Do""",Taylor Swift,Excited,evening,date,https://www.youtube.com/watch?v=3tmd-ClpJxA
76,"""I Don't Dance""",Lee Brice,Comforting,night,commuting,https://www.youtube.com/watch?v=fBEBbgQEJy4
77,"""Your Body Is a Wonderland""",John Mayer,Cathartic,evening,journaling,https://www.youtube.com/watch?v=N5EnGwXV_Pg
78,"""Wait for U""",Future featuring Drake and Tems,Calm,morning,reflecting,https://www.youtube.com/watch?v=rP09GUQFDFk
79,"""Love Song""",Sara Bareilles,Comforting,night,journaling,https://www.youtube.com/watch?v=qi7Yh16dA0w
80,"""Sit Still, Look Pretty""",Daya,Mysterious,evening,reflecting,https://www.youtube.com/watch?v=uPHKkewD1G0
81,"""Drip Too Hard""",Lil Baby and Gunna,Melancholic,morning,reflecting,https://www.youtube.com/watch?v=_YzD9KW82sk
82,"""Butterflies""",Michael Jackson,Excited,night,journaling,https://www.youtube.com/watch?v=csvNBRZfFpo
83,"""Sugar, We're Goin Down""",Fall Out Boy,Empowering,afternoon,reflecting,https://www.youtube.com/watch?v=uhG-vLZrb-g
84,"""Act Up""",City Girls,Nostalgic,afternoon,exercising,https://www.youtube.com/watch?v=F_VsAvS1kuo
85,"""Just a Kiss""",Lady Antebellum,Melancholic,night,exercising,https://www.youtube.com/watch?v=v_yTphvyiPU
86,"""My Life""",The Game featuring Lil Wayne,Excited,afternoon,relaxing,https://www.youtube.com/watch?v=udxZ9zkDzpo
87,"""Shower""",Becky G,Cathartic,afternoon,journaling,https://www.youtube.com/watch?v=50-_oTkmF5I
88,"""The Only Exception""",Paramore,Melancholic,afternoon,journaling,https://www.youtube.com/watch?v=-J7J_IWUhls
89,"""Don't Lie""",The Black Eyed Peas,Cathartic,afternoon,commuting,https://www.youtube.com/watch?v=WbJNkH-pDd8
90,"""MotorSport""","Migos, Nicki Minaj and Cardi B",Comforting,afternoon,reflecting,https://www.youtube.com/watch?v=9v_rtaye2yY
91,"""Knockin' Boots""",Luke Bryan,Mysterious,evening,exercising,https://www.youtube.com/watch?v=Ioz93bSi2uc
92,"""Roses""",OutKast,Nostalgic,afternoon,cooking,https://www.youtube.com/watch?v=gWju37TZfo0
93,"""Circles Around This Town""",Maren Morris,Joyful,morning,date,https://www.youtube.com/watch?v=_EmOYuzBP1I
94,"""Sorry 2004""",Ruben Studdard,Romantic,evening,journaling,https://www.youtube.com/watch?v=fRuzeZKYN-I
95,"""PRC""",Peso Pluma and Natanael Cano,Empowering,afternoon,exercising,https://www.youtube.com/watch?v=kJflWOiAc6I
96,"""Good 4 U""",Olivia Rodrigo,Comforting,night,cooking,https://www.youtube.com/watch?v=gNi_6U5Pm_o
97,"""Controlla""",Drake,Joyful,evening,exercising,https://www.youtube.com/watch?v=PsW85VbSau0
98,"""You Make Me Feel...""",Cobra Starship featuring Sabi,Mysterious,morning,reflecting,https://www.youtube.com/watch?v=HpyZEzrDf4c
99,"""Royals""",Lorde,Calm,afternoon,exercising,https://www.youtube.com/watch?v=nlcIKh6sBtc
100,"""Don't Start Now""",Dua Lipa,Melancholic,morning,commuting,https://www.youtube.com/watch?v=oygrmJFKYZY
101,"""Don't Wanna Try""",Frankie J,Melancholic,morning,journaling,https://www.youtube.com/watch?v=PfdMcC7nyvk
102,"""Meet Virginia""",Train,Excited,evening,date,https://www.youtube.com/watch?v=A3Qvb7q9Nm0
103,"""Superman""",Eminem,Nostalgic,afternoon,relaxing,https://www.youtube.com/watch?v=Mx_yZk47YN4
104,"""Dilemma""",Nelly featuring Kelly Rowland,Comforting,afternoon,date,https://www.youtube.com/watch?v=8WYHDfJDPDc
105,"""Let Me Love You""",Mario,Comforting,afternoon,journaling,https://www.youtube.com/watch?v=H64QG4UsrGI
106,"""My Sacrifice""",Creed,Cathartic,afternoon,commuting,https://www.youtube.com/watch?v=O-fyNgHdmLI
107,"""Sorry""",Beyoncé,Calm,night,journaling,https://www.youtube.com/watch?v=QxsmWxxouIM
108,"""One Number Away""",Luke Combs,Joyful,evening,relaxing,https://www.youtube.com/watch?v=Ct9BFr9XBaI
109,"""Sexy Bitch""",David Guetta featuring Akon,Romantic,evening,cooking,https://www.youtube.com/watch?v=N9hazmsUxrM
110,"""No Shoes, No Shirt, No Problems""",Kenny Chesney,Mysterious,night,journaling,https://www.youtube.com/watch?v=-01jhW_Yzhs
111,"""If Everyone Cared""",Nickelback,Cathartic,night,exercising,https://www.youtube.com/watch?v=-IUSZyjiYuY
112,"""Why Don't You & I""",Santana featuring Alex Band or Chad Kroeger,Joyful,night,date,https://www.youtube.com/watch?v=NGzs_dGFGM8
113,"""Rain on Me""",Lady Gaga and Ariana Grande,Melancholic,morning,cooking,https://www.youtube.com/watch?v=AoAm4om0wTs
114,"""Don't Matter""",Akon,Cathartic,evening,relaxing,https://www.youtube.com/watch?v=JWA5hJl4Dv0
115,"""Shape of You""",Ed Sheeran,Comforting,night,reflecting,https://www.youtube.com/watch?v=JGwWNGJdvx8
116,"""Closer""",Ne-Yo,Excited,evening,date,https://www.youtube.com/watch?v=z_aC5xPQ2f4
117,"""Dirt Road Anthem""",Jason Aldean,Mysterious,afternoon,reflecting,https://www.youtube.com/watch?v=Lb9q1ScC4cg
118,"""As Good as I Once Was""",Toby Keith,Calm,night,reflecting,https://www.youtube.com/watch?v=ldQrapQ4d0Y
119,"""TQG""",Karol G and Shakira,Cathartic,morning,cooking,https://www.youtube.com/watch?v=jZGpkLElSu8
120,"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Empowering,evening,exercising,https://www.youtube.com/watch?v=FbcLcSY2au4
121,"""Be Without You""",Mary J. Blige,Calm,night,cooking,https://www.youtube.com/watch?v=8XNaPX6MKlU
122,"""Stutter""",Joe featuring Mystikal,Nostalgic,afternoon,date,https://www.youtube.com/watch?v=eGY_Qqr2Lm0
123,"""Cut It""",O.T. Genasis featuring Young Dolph,Cathartic,morning,cooking,https://www.youtube.com/watch?v=qMwcsIY1GYE
124,"""Classic Man""",Jidenna featuring Roman GianArthur,Nostalgic,morning,journaling,https://www.youtube.com/watch?v=nsiN0W15w0U
125,"""The Show Goes On""",Lupe Fiasco,Joyful,afternoon,reflecting,https://www.youtube.com/watch?v=Rmp6zIr5y4U
126,"""Bad Day""",Daniel Powter,Empowering,evening,relaxing,https://www.youtube.com/watch?v=gH476CxJxfg
127,"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,Melancholic,morning,commuting,https://www.youtube.com/watch?v=8fijggq5R6w
128,"""Hymn for the Weekend""",Coldplay,Empowering,morning,exercising,https://www.youtube.com/watch?v=YykjpeuMNEk
129,"""You and Tequila""",Kenny Chesney featuring Grace Potter,Cathartic,evening,journaling,https://www.youtube.com/watch?v=Q8XkLrErSHw
130,"""Salt Shaker""",Ying Yang Twins featuring Lil Jon & the East Side Boyz,Excited,night,reflecting,https://www.youtube.com/watch?v=aJEzl31zL-I
131,"""Dynamite""",Taio Cruz,Excited,morning,exercising,https://www.youtube.com/watch?v=VUjdiDeJ0xg
132,"""Gangsta Lovin'""",Eve featuring Alicia Keys,Melancholic,night,cooking,https://www.youtube.com/watch?v=aNI8XFEAyI0
133,"""Unwritten""",Natasha Bedingfield,Mysterious,morning,reflecting,https://www.youtube.com/watch?v=b7k0a5hYnSI
134,"""Love Don't Cost a Thing""",Jennifer Lopez,Nostalgic,morning,journaling,https://www.youtube.com/watch?v=4kGvlESGvbs
135,"""Obsessed""",Mariah Carey,Cathartic,night,reflecting,https://www.youtube.com/watch?v=H1Yt0xJKDY8
136,"""Hollaback Girl""",Gwen Stefani,Excited,morning,cooking,https://www.youtube.com/watch?v=Kgjkth6BRRY
137,"""Wants and Needs""",Drake featuring Lil Baby,Cathartic,night,reflecting,https://www.youtube.com/watch?v=cnqUrYjqGaU
138,"""Incomplete""",Backstreet Boys,Melancholic,night,reflecting,https://www.youtube.com/watch?v=WVe80iZtlYU
139,"""Faded""",soulDecision featuring Thrust,Melancholic,night,relaxing,https://www.youtube.com/watch?v=Y7GlV3h9lsY
140,"""Halo""",Beyoncé,Empowering,afternoon,relaxing,https://www.youtube.com/watch?v=bnVUHWCynig
141,"""You Say""",Lauren Daigle,Comforting,evening,exercising,https://www.youtube.com/watch?v=sIaT8Jl2zpI
142,"""Magic Stick""",Lil' Kim featuring 50 Cent,Joyful,evening,exercising,https://www.youtube.com/watch?v=ZUm96Zij-tE
143,"""I Can""",Nas,Melancholic,morning,reflecting,https://www.youtube.com/watch?v=RvVfgvHucRY
144,"""Get Busy""",Sean Paul,Comforting,evening,relaxing,https://www.youtube.com/watch?v=oPQ3o14ksaM
145,"""Touch It""",Busta Rhymes,Melancholic,evening,exercising,https://www.youtube.com/watch?v=82PsUyCKuUc
146,"""The Monster""",Eminem featuring Rihanna,Nostalgic,afternoon,reflecting,https://www.youtube.com/watch?v=EHkozMIXZ8w
147,"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,Nostalgic,afternoon,reflecting,https://www.youtube.com/watch?v=QVXE1EzMrfw
148,"""On My Mama""",Victoria Monét,Empowering,evening,relaxing,https://www.youtube.com/watch?v=KdJ-Qwu3y4Y
149,"""Stir Fry""",Migos,Melancholic,night,exercising,https://www.youtube.com/watch?v=HI-mXMr8glQ
150,"""Gold""",Kiiara,Melancholic,night,journaling,https://www.youtube.com/watch?v=sO9cBXRcBvo
151,"""Walk It Out""",Unk,Excited,afternoon,reflecting,https://www.youtube.com/watch?v=pxjZM-d_ShI
152,"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,Excited,morning,journaling,https://www.youtube.com/watch?v=XDMGmtpvBjs
153,"""Bad Romance""",Lady Gaga,Empowering,morning,relaxing,https://www.youtube.com/watch?v=qrO4YZeyl0I
154,"""Gata Only""",FloyyMenor and Cris MJ,Joyful,morning,cooking,https://www.youtube.com/watch?v=-r687V8yqKY
155,"""Daylight""",David Kushner,Cathartic,afternoon,date,https://www.youtube.com/watch?v=MoN9ql6Yymw
156,"""Even Though I'm Leaving""",Luke Combs,Nostalgic,afternoon,date,https://www.youtube.com/watch?v=P7kqqmr2HWI
157,"""Cruel Summer""",Taylor Swift,Cathartic,night,commuting,https://www.youtube.com/watch?v=ic8j13piAhQ
158,"""Boo'd Up""",Ella Mai,Mysterious,morning,date,https://www.youtube.com/watch?v=6YNZlXfW6Ho
159,"""Hey Brother""",Avicii,Comforting,evening,relaxing,https://www.youtube.com/watch?v=6Cp6mKbRTQY
160,"""World on Fire""",Nate Smith,Comforting,afternoon,cooking,https://www.youtube.com/watch?v=U1gT0P4Zp2U
161,"""What Do You Mean?""",Justin Bieber,Empowering,afternoon,relaxing,https://www.youtube.com/watch?v=DK_0jXPuIr0
162,"""Good Days""",SZA,Nostalgic,night,reflecting,https://www.youtube.com/watch?v=0BdlKkvjEgA
163,"""I Like That""","Houston featuring Chingy, Nate Dogg and I-20",Calm,evening,date,https://www.youtube.com/watch?v=IdclkOJqaRw
164,"""Where It Ends""",Bailey Zimmerman,Melancholic,morning,commuting,https://www.youtube.com/watch?v=WVh073Yujmo
165,"""Riptide""",Vance Joy,Comforting,evening,relaxing,https://www.youtube.com/watch?v=lYoWuaw5nSk
166,"""Just Like a Pill""",Pink,Excited,afternoon,cooking,https://www.youtube.com/watch?v=JDKGWaCglRM
167,"""You Need to Calm Down""",Taylor Swift,Calm,night,commuting,https://www.youtube.com/watch?v=Dkk9gvTmCXY
168,"""What It Is (Block Boy)""",Doechii featuring Kodak Black,Nostalgic,morning,reflecting,https://www.youtube.com/watch?v=phtcAd8j6Ro
169,"""If I Were a Boy""",Beyoncé,Melancholic,evening,exercising,https://www.youtube.com/watch?v=AWpsOqh8q0M
170,"""Dangerous""",Kardinal Offishall featuring Akon,Calm,night,journaling,https://www.youtube.com/watch?v=Ro7yHf_pU14
171,"""Sunflower""",Post Malone and Swae Lee,Melancholic,afternoon,exercising,https://www.youtube.com/watch?v=ApXoWvfEYVU
172,"""Redbone""",Childish Gambino,Excited,morning,exercising,https://www.youtube.com/watch?v=k49I5m1J6Is
173,"""19 Somethin'""",Mark Wills,Calm,night,reflecting,https://www.youtube.com/watch?v=sm--KJk-kgw
174,"""Someone to Call My Lover""",Janet Jackson,Excited,afternoon,date,https://www.youtube.com/watch?v=jWd9IgPktA4
175,"""Wait in the Truck""",Hardy featuring Lainey Wilson,Excited,morning,commuting,https://www.youtube.com/watch?v=YsMB0i5YTOc
176,"""Shackles (Praise You)""",Mary Mary,Mysterious,evening,commuting,https://www.youtube.com/watch?v=i1L2lToMlB4
177,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",Cathartic,morning,journaling,https://www.youtube.com/watch?v=Z09lYqdxqzo
178,"""Die from a Broken Heart""",Maddie & Tae,Melancholic,afternoon,relaxing,https://www.youtube.com/watch?v=Xbaoi-lifOM
179,"""Euphoria""",Kendrick Lamar,Joyful,evening,commuting,https://www.youtube.com/watch?v=NPqDIwWMtxg
180,"""My First Kiss""",3OH!3 featuring Kesha,Empowering,afternoon,relaxing,https://www.youtube.com/watch?v=AYC2FUutdKA
181,"""Break My Heart""",Dua Lipa,Mysterious,afternoon,reflecting,https://www.youtube.com/watch?v=Nj2U6rhnucI
182,"""Homesick""",Kane Brown,Excited,evening,reflecting,https://www.youtube.com/watch?v=ukHikH_10CA
183,"""Here's to the Night""",Eve 6,Excited,afternoon,reflecting,https://www.youtube.com/watch?v=X5DOGsoiW6c
184,"""Back to You""",Selena Gomez,Comforting,evening,journaling,https://www.youtube.com/watch?v=VY1eFxgRR-k
185,"""E.T.""",Katy Perry featuring Kanye West,Excited,evening,date,https://www.youtube.com/watch?v=t5Sd5c4o9UM
186,"""Thong Song""",Sisqó,Calm,night,reflecting,https://www.youtube.com/watch?v=Oai1V7kaFBk
187,"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,Excited,morning,commuting,https://www.youtube.com/watch?v=AoA-ByjIf2M
188,"""Watermelon Moonshine""",Lainey Wilson,Cathartic,night,journaling,https://www.youtube.com/watch?v=_3jv0_wGK1M
189,"""Look What God Gave Her""",Thomas Rhett,Nostalgic,morning,journaling,https://www.youtube.com/watch?v=AbXahmBSLTk
190,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,Romantic,afternoon,reflecting,https://www.youtube.com/watch?v=YNSxNsr4wmA
191,"""Locked Up""",Akon featuring Styles P,Calm,evening,relaxing,https://www.youtube.com/watch?v=14PgWitIbSk
192,"""Beggin'""",Måneskin,Calm,evening,journaling,https://www.youtube.com/watch?v=W2MpGCL8-9o
193,"""One Mississippi""",Kane Brown,Mysterious,morning,exercising,https://www.youtube.com/watch?v=O2HpAdaE7R4
194,"""Said Sum""",Moneybagg Yo,Comforting,night,relaxing,https://www.youtube.com/watch?v=T8pi91qWnRw
195,"""Send My Love (To Your New Lover)""",Adele,Romantic,afternoon,exercising,https://www.youtube.com/watch?v=fk4BbF7B29w
196,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,Melancholic,evening,commuting,https://www.youtube.com/watch?v=nGt_JGHYEO4
197,"""Close Friends""",Lil Baby,Mysterious,evening,commuting,https://www.youtube.com/watch?v=hhzYbExfVIY
198,"""Because of You""",Kelly Clarkson,Romantic,morning,relaxing,https://www.youtube.com/watch?v=Ra-Om7UMSJc
199,"""White Horse""",Taylor Swift,Mysterious,morning,date,https://www.youtube.com/watch?v=D1Xr-JFLxik
200,"""Talk Dirty""",Jason Derulo featuring 2 Chainz,Excited,night,reflecting,https://www.youtube.com/watch?v=RbtPXFlZlHg
201,"""About Damn Time""",Lizzo,Joyful,evening,exercising,https://www.youtube.com/watch?v=IXXxciRUMzE
202,"""You Know You Like It""",DJ Snake and AlunaGeorge,Romantic,afternoon,commuting,https://www.youtube.com/watch?v=MIuJVYNvC-s
203,"""I'm Yours""",Jason Mraz,Romantic,night,commuting,https://www.youtube.com/watch?v=EkHTsc9PU2A
204,"""Gotta Get thru This""",Daniel Bedingfield,Excited,evening,relaxing,https://www.youtube.com/watch?v=b4eMyOzD9UI
205,"""When I'm Gone""",Eminem,Calm,morning,relaxing,https://www.youtube.com/watch?v=1wYNFfgrXTI
206,"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors",Cathartic,night,cooking,https://www.youtube.com/watch?v=-59jGD4WrmE
207,"""POV""",Ariana Grande,Comforting,night,exercising,https://www.youtube.com/watch?v=nQJEp-k-ogs
208,"""Walk Away""",Kelly Clarkson,Melancholic,afternoon,exercising,https://www.youtube.com/watch?v=nFCuyLwhUzM
209,"""Teardrops on My Guitar""",Taylor Swift,Calm,afternoon,exercising,https://www.youtube.com/watch?v=xKCek6_dB0M
210,"""The Whole World""",Outkast featuring Killer Mike,Joyful,afternoon,reflecting,https://www.youtube.com/watch?v=udmTfK6_aM8
211,"""Get Along""",Kenny Chesney,Nostalgic,morning,date,https://www.youtube.com/watch?v=-LI8X-GhFA8
212,"""All I Want for Christmas Is You""",Mariah Carey,Empowering,night,cooking,https://www.youtube.com/watch?v=aAkMkVFwAoo
213,"""Trap Queen""",Fetty Wap,Melancholic,morning,date,https://www.youtube.com/watch?v=i_kF4zLNKio
214,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,Joyful,night,date,https://www.youtube.com/watch?v=9n5G0qFBsHM
215,"""Love of My Life (An Ode to Hip-Hop)""",Erykah Badu featuring Common,Comforting,morning,journaling,https://www.youtube.com/watch?v=dNk3R23Twgw
216,"""Handle on You""",Parker McCollum,Mysterious,night,cooking,https://www.youtube.com/watch?v=jqkNGbd3V1E
217,"""Favorite Song""",Toosii,Empowering,night,cooking,https://www.youtube.com/watch?v=4D89Qr5vH6U
218,"""Hello""",Adele,Nostalgic,evening,commuting,https://www.youtube.com/watch?v=YQHsXMglC9A
219,"""Pon de Replay""",Rihanna,Excited,afternoon,date,https://www.youtube.com/watch?v=oEauWw9ZGrA
220,"""Don't Mind""",Kent Jones,Cathartic,night,cooking,https://www.youtube.com/watch?v=EnRPI8vfF1Q
221,"""Say Something""",Timbaland featuring Drake,Comforting,afternoon,date,https://www.youtube.com/watch?v=NJ9pYU-fa18
